invoice_id,customer_id,invoice_date,amount,days_late,status
9,23,2024-07-01,5683.0,12,Failed
19,48,2024-07-01,1950.0,0,Paid
37,119,2024-07-01,58864.0,3,Paid Late
71,222,2024-07-01,802.0,0,Paid
106,356,2024-07-01,2917.0,21,Failed
117,379,2024-07-01,12923.0,0,Paid
201,685,2024-07-01,2323.0,0,Paid
203,689,2024-07-01,2363.0,17,Paid Late
245,855,2024-07-01,3712.0,0,Paid
294,1048,2024-07-01,22042.0,0,Paid
295,1054,2024-07-01,2814.0,0,Paid
299,1061,2024-07-01,1560.0,0,Paid
375,1314,2024-07-01,5652.0,0,Paid
388,1362,2024-07-01,5518.0,0,Paid
398,1385,2024-07-01,1186.0,0,Paid
568,2082,2024-07-01,42635.0,0,Paid
702,2554,2024-07-01,1633986.0,0,Paid
708,2575,2024-07-01,734.0,0,Paid
723,2620,2024-07-01,25733.0,0,Paid
765,2761,2024-07-01,1572.0,6,Paid Late
767,2768,2024-07-01,4274.0,0,Paid
845,3054,2024-07-01,768.0,15,Failed
882,3171,2024-07-01,137615.0,11,Paid Late
910,3285,2024-07-01,106645.0,0,Paid
937,3421,2024-07-01,33627.0,24,Paid Late
1258,4613,2024-07-01,74790.0,6,Paid Late
1261,4626,2024-07-01,55699.0,0,Paid
1309,4788,2024-07-01,24028.0,0,Paid
1316,4810,2024-07-01,31839.0,0,Paid
1319,4819,2024-07-01,201004.0,29,Failed
1347,4922,2024-07-01,5161.0,0,Paid
1374,5023,2024-07-01,3089.0,0,Paid
1382,5046,2024-07-01,37180.0,8,Paid Late
1534,5566,2024-07-01,4498.0,0,Paid
1548,5657,2024-07-01,565.0,0,Paid
1565,5717,2024-07-01,26526.0,0,Paid
1576,5749,2024-07-01,2339.0,0,Paid
1577,5754,2024-07-01,2141.0,0,Paid
1591,5786,2024-07-01,2540.0,0,Paid
1640,5985,2024-07-01,1160.0,0,Paid
1669,6092,2024-07-01,101329.0,18,Paid Late
1671,6096,2024-07-01,11021.0,0,Paid
1687,6149,2024-07-01,67102.0,0,Paid
1724,6298,2024-07-01,71334.0,0,Paid
1779,6487,2024-07-01,1884.0,0,Paid
1795,6545,2024-07-01,20610.0,8,Paid Late
1826,6670,2024-07-01,1433203.0,0,Paid
1862,6786,2024-07-01,36689.0,0,Paid
1873,6814,2024-07-01,3057.0,0,Paid
1939,7058,2024-07-01,32192.0,0,Paid
1983,7227,2024-07-01,9399.0,0,Paid
2038,7430,2024-07-01,1527.0,0,Paid
2058,7497,2024-07-01,25703.0,0,Paid
2195,8004,2024-07-01,1365228.0,0,Paid
2204,8039,2024-07-01,1664.0,0,Paid
2211,8085,2024-07-01,6348.0,0,Paid
2236,8179,2024-07-01,26592.0,0,Paid
2279,8339,2024-07-01,26320.0,0,Paid
2284,8359,2024-07-01,220148.0,0,Paid
2291,8392,2024-07-01,1838.0,0,Paid
2378,8712,2024-07-01,2689.0,0,Paid
2382,8727,2024-07-01,7372.0,0,Paid
2392,8775,2024-07-01,792.0,0,Paid
2468,9083,2024-07-01,2033.0,0,Paid
2487,9141,2024-07-01,2243.0,0,Paid
2528,9272,2024-07-01,819.0,10,Paid Late
2583,9505,2024-07-01,53713.0,0,Paid
2622,9636,2024-07-01,13035.0,0,Paid
2645,9703,2024-07-01,49695.0,0,Paid
2670,9768,2024-07-01,52055.0,19,Paid Late
2693,9836,2024-07-01,65536.0,22,Paid Late
2698,9866,2024-07-01,3231.0,0,Paid
2777,10214,2024-07-01,793.0,23,Paid Late
2795,10289,2024-07-01,697982.0,0,Paid
2804,10316,2024-07-01,751270.0,0,Paid
2835,10429,2024-07-01,66036.0,0,Paid
2841,10457,2024-07-01,1080.0,14,Paid Late
2932,10771,2024-07-01,32562.0,0,Paid
3230,11883,2024-07-01,58642.0,0,Paid
3281,12103,2024-07-01,59923.0,0,Paid
3301,12176,2024-07-01,35863.0,25,Failed
3326,12321,2024-07-01,37080.0,10,Failed
3337,12375,2024-07-01,104352.0,0,Paid
3406,12587,2024-07-01,490298.0,0,Paid
3407,12588,2024-07-01,2872.0,0,Paid
3490,12867,2024-07-01,4871.0,0,Paid
3524,12990,2024-07-01,819.0,0,Paid
3562,13155,2024-07-01,548.0,0,Paid
3581,13215,2024-07-01,6555.0,0,Paid
3634,13468,2024-07-01,2412.0,0,Paid
3665,13575,2024-07-01,294948.0,30,Paid Late
3677,13618,2024-07-01,1123.0,0,Paid
3682,13637,2024-07-01,6831.0,0,Paid
3703,13704,2024-07-01,21697.0,0,Paid
3849,14271,2024-07-01,2516.0,0,Paid
